;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202401;Enero de 2024;1;Andalucía;14;Córdoba;14022;Doña Mencía;333;159;41;0;89;44;0;294;<5;13;24
202401;Enero de 2024;1;Andalucía;14;Córdoba;14023;Dos Torres;88;8;32;0;<5;43;<5;15;<5;32;38
202401;Enero de 2024;1;Andalucía;14;Córdoba;14024;Encinas Reales;108;20;47;0;9;32;0;89;<5;<5;13
202401;Enero de 2024;1;Andalucía;14;Córdoba;14025;Espejo;335;93;119;<5;36;86;0;287;<5;28;19
202401;Enero de 2024;1;Andalucía;14;Córdoba;14026;Espiel;121;9;72;0;12;28;0;12;65;<5;41
202401;Enero de 2024;1;Andalucía;14;Córdoba;14027;Fernán-Núñez;201;41;95;<5;11;52;<5;132;<5;21;45
202401;Enero de 2024;1;Andalucía;14;Córdoba;14028;Fuente la Lancha;<5;0;0;0;<5;0;0;0;0;0;<5
202401;Enero de 2024;1;Andalucía;14;Córdoba;14029;Fuente Obejuna;36;<5;20;0;<5;10;<5;13;<5;7;14
202401;Enero de 2024;1;Andalucía;14;Córdoba;14030;Fuente Palmera;455;192;89;5;86;80;<5;308;11;76;60
202401;Enero de 2024;1;Andalucía;14;Córdoba;14031;Fuente-Tójar;35;<5;16;<5;<5;14;0;18;<5;0;16
202401;Enero de 2024;1;Andalucía;14;Córdoba;14032;Granjuela, La;10;0;7;0;0;<5;0;<5;0;6;<5
202401;Enero de 2024;1;Andalucía;14;Córdoba;14033;Guadalcázar;81;28;46;0;<5;5;0;55;8;<5;17
202401;Enero de 2024;1;Andalucía;14;Córdoba;14034;Guijo, El;20;0;9;0;0;11;0;0;0;0;20
202401;Enero de 2024;1;Andalucía;14;Córdoba;14035;Hinojosa del Duque;89;14;33;<5;<5;37;0;17;6;28;38
